slug,title,asset_count,evidence_terms,representative_assets,reason_not_promoted,owner_decision,owner_notes
geometry,Geometry Coloring Pages,1457,geometry,mandala-geometry-patterns__mandala-geometry-patterns-abstract-mandala__29dbb1eecf; mandala-geometry-patterns__mandala-geometry-patterns-abstract-shapes__96fa3013f6; mandala__mandala-geometry-patterns-animal-mandala-fox__3e8e80a2fd; mandala-geometry-patterns__mandala-geometry-patterns-animal-plushie-hippo__12a7febf5c; mandala-geometry-patterns__mandala-geometry-patterns-bakery-animal-shaped-cookies__02c4796fed; mandala-geometry-patterns__mandala-geometry-patterns-bakery-apple-pie__572ed1fcfb; mandala-geometry-patterns__mandala-geometry-patterns-bakery-baguette__f3931efe05; mandala-geometry-patterns__mandala-geometry-patterns-bakery-baker-hat__85eb9a820b,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
anime-girl-summoning,Anime Girl Summoning Coloring Pages,332,anime girl summoning,anime-girls__anime-girl-summoning-angler-fish__89420344d6; anime-girls__anime-girl-summoning-angler-fish-plushies__120c0d8870; anime-girls__anime-girl-summoning-ants__6e07db07e6; anime-girls__anime-girl-summoning-australian-throny-devil-lizard__f64b34131c; anime-girls__anime-girl-summoning-australian-throny-devil-lizard-plushies__b0d3d85b97; anime-girls__anime-girl-summoning-bone-dragon__25525e8031; anime-girls__anime-girl-summoning-bone-dragon-plushies__ac4b8bc72d; anime-girls__anime-girl-summoning-broken-heart-emoji-plushies__eced4f0e1f,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
girl-summoning,Girl Summoning Coloring Pages,332,girl summoning,anime-girls__anime-girl-summoning-angler-fish__89420344d6; anime-girls__anime-girl-summoning-angler-fish-plushies__120c0d8870; anime-girls__anime-girl-summoning-ants__6e07db07e6; anime-girls__anime-girl-summoning-australian-throny-devil-lizard__f64b34131c; anime-girls__anime-girl-summoning-australian-throny-devil-lizard-plushies__b0d3d85b97; anime-girls__anime-girl-summoning-bone-dragon__25525e8031; anime-girls__anime-girl-summoning-bone-dragon-plushies__ac4b8bc72d; anime-girls__anime-girl-summoning-broken-heart-emoji-plushies__eced4f0e1f,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
holiday-birthday-celebration,Holiday Birthday Celebration Coloring Pages,190,holiday birthday celebration,holiday__holiday-birthday-celebration-cat__d6e01d08ac; holiday__holiday-birthday-celebration-dogs__88ef0db510; holiday__holiday-birthday-celebration-dragon__bc7966ef21; holiday__holiday-birthday-celebration-elf__ee13c4bcbe; holiday__holiday-birthday-celebration-fairy__0d952911e9; holiday__holiday-birthday-celebration-fire-dragon__de6f8bbf33; holiday__holiday-birthday-celebration-foxes__690e06eaa1; holiday__holiday-birthday-celebration-gnome__835212f9b9,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
holiday-christmas-plushie,Holiday Christmas Plushie Coloring Pages,183,holiday christmas plushie,holiday__holiday-christmas-plushie-alligator-family__e57629ca9d; holiday__holiday-christmas-plushie-alpaca-family__63b9b19a29; holiday__holiday-christmas-plushie-angelfish-family__cf957a69b5; holiday__holiday-christmas-plushie-anteater-family__5a1c5ed154; holiday__holiday-christmas-plushie-antelope-family__7a59ed3259; holiday__holiday-christmas-plushie-armadillo-family__1f1c5806aa; holiday__holiday-christmas-plushie-axolotl-family__0cc3764936; holiday__holiday-christmas-plushie-baby-alien-family__766caa4fec,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
halloween-costume-plushie,Halloween Costume Plushie Coloring Pages,161,halloween costume plushie,holiday__holiday-halloween-costume-plushie-alligator-family__34d6f58480; holiday__holiday-halloween-costume-plushie-alpaca-family__e871be9a53; holiday__holiday-halloween-costume-plushie-angelfish-family__69d0a12846; holiday__holiday-halloween-costume-plushie-anteater-family__1bcc40ecca; holiday__holiday-halloween-costume-plushie-antelope-family__6d1c6cb120; holiday__holiday-halloween-costume-plushie-armadillo-family__920cbb892f; holiday__holiday-halloween-costume-plushie-axolotl-family__934101625f; holiday__holiday-halloween-costume-plushie-baby-alien-family__2b6b4c6303,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
holiday-halloween-costume,Holiday Halloween Costume Coloring Pages,161,holiday halloween costume,holiday__holiday-halloween-costume-plushie-alligator-family__34d6f58480; holiday__holiday-halloween-costume-plushie-alpaca-family__e871be9a53; holiday__holiday-halloween-costume-plushie-angelfish-family__69d0a12846; holiday__holiday-halloween-costume-plushie-anteater-family__1bcc40ecca; holiday__holiday-halloween-costume-plushie-antelope-family__6d1c6cb120; holiday__holiday-halloween-costume-plushie-armadillo-family__920cbb892f; holiday__holiday-halloween-costume-plushie-axolotl-family__934101625f; holiday__holiday-halloween-costume-plushie-baby-alien-family__2b6b4c6303,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
birthday-celebration-plushie,Birthday Celebration Plushie Coloring Pages,157,birthday celebration plushie,holiday__holiday-birthday-celebration-plushie-alligator-family__88ffd48da0; holiday__holiday-birthday-celebration-plushie-alpaca-family__6c1d2b2765; holiday__holiday-birthday-celebration-plushie-angelfish-family__a79b6012eb; holiday__holiday-birthday-celebration-plushie-anteater-family__867a7d00ff; holiday__holiday-birthday-celebration-plushie-antelope-family__cf8835f947; holiday__holiday-birthday-celebration-plushie-armadillo-family__d6ad162889; holiday__holiday-birthday-celebration-plushie-axolotl-family__68b71fbde5; holiday__holiday-birthday-celebration-plushie-baby-alien-family__8cd588fa8c,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
japan,Japan Coloring Pages,111,japan,mandala-geometry-patterns__mandala-geometry-patterns-japan-archer-in-kyudo-style__dabb6ca10c; mandala-geometry-patterns__mandala-geometry-patterns-japan-autumn-maple-leaves__8af9f820a8; mandala-geometry-patterns__mandala-geometry-patterns-japan-awa-odori-dance__0572579546; mandala-geometry-patterns__mandala-geometry-patterns-japan-bamboo-forest__c0b4b1ffdf; mandala-geometry-patterns__mandala-geometry-patterns-japan-bon-odori-dancers__b3afdb4382; mandala-geometry-patterns__mandala-geometry-patterns-japan-buddhist-temple__c9359b333f; mandala-geometry-patterns__mandala-geometry-patterns-japan-cherry-blossom-festival__a8c1e3cec3; mandala-geometry-patterns__mandala-geometry-patterns-japan-cherry-blossom-park__b13d44b517,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
train-locomotive,Train Locomotive Coloring Pages,99,train locomotive,mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-african-savanna-safari-trai__8343621f41; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-arctic-train-on-snowy-ice-r__f87dc94339; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-australian-outback-ghan-tra__f2c3f525d7; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-british-steam-heritage-trai__6969270142; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-cable-car-climbing-mountain__a2809b8c72; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-canadian-rocky-mountain-tou__6415302ec2; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-cargo-freight-train-with-bo__a0770cfa7a; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-cargo-freight-train-with-co__aa6ebc02d8,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
