assetId,category,currentFilename,currentSvgPath,currentWebpPath,displayTitle,proposedCleanStem,proposedSvgObjectKey,proposedWebpObjectKey,reasonCodes,confidence,likelyHubPages,ownerDecision,ownerNotes
animals-playing-cards__animals-armadillo__1a6eaccdef,animals-playing-cards,animals-armadillo-1a6eaccdef.svg,pipeline/r2-upload/coloring-pages/svg/animals-playing-cards/animals-armadillo-1a6eaccdef.svg,pipeline/r2-upload/coloring-pages/webp/animals-playing-cards/animals-armadillo-1a6eaccdef.webp,Animals Armadillo,animals-armadillo-1a6eaccdef,coloring-pages/svg/animals-playing-cards/animals-armadillo-1a6eaccdef.svg,coloring-pages/webp/animals-playing-cards/animals-armadillo-1a6eaccdef.webp,category_mismatch|manual_review_required,manual_review,/coloring-pages/animals|/coloring-pages|/coloring-pages/playing-cards,,
animals-playing-cards__animals-armadillos__50db4716e5,animals-playing-cards,animals-armadillos-50db4716e5.svg,pipeline/r2-upload/coloring-pages/svg/animals-playing-cards/animals-armadillos-50db4716e5.svg,pipeline/r2-upload/coloring-pages/webp/animals-playing-cards/animals-armadillos-50db4716e5.webp,Animals Armadillos,animals-armadillos-50db4716e5,coloring-pages/svg/animals-playing-cards/animals-armadillos-50db4716e5.svg,coloring-pages/webp/animals-playing-cards/animals-armadillos-50db4716e5.webp,category_mismatch|manual_review_required,manual_review,/coloring-pages/animals|/coloring-pages|/coloring-pages/playing-cards,,
animals-playing-cards__animals-armadillos-wildlife__f2912c1ad5,animals-playing-cards,animals-armadillos-wildlife-f2912c1ad5.svg,pipeline/r2-upload/coloring-pages/svg/animals-playing-cards/animals-armadillos-wildlife-f2912c1ad5.svg,pipeline/r2-upload/coloring-pages/webp/animals-playing-cards/animals-armadillos-wildlife-f2912c1ad5.webp,Animals Armadillos Wildlife,animals-armadillos-wildlife-f2912c1ad5,coloring-pages/svg/animals-playing-cards/animals-armadillos-wildlife-f2912c1ad5.svg,coloring-pages/webp/animals-playing-cards/animals-armadillos-wildlife-f2912c1ad5.webp,category_mismatch|manual_review_required,manual_review,/coloring-pages/animals|/coloring-pages|/coloring-pages/playing-cards,,
animals-playing-cards__animals-baboon__3019f9ef3d,animals-playing-cards,animals-baboon-3019f9ef3d.svg,pipeline/r2-upload/coloring-pages/svg/animals-playing-cards/animals-baboon-3019f9ef3d.svg,pipeline/r2-upload/coloring-pages/webp/animals-playing-cards/animals-baboon-3019f9ef3d.webp,Animals Baboon,animals-baboon-3019f9ef3d,coloring-pages/svg/animals-playing-cards/animals-baboon-3019f9ef3d.svg,coloring-pages/webp/animals-playing-cards/animals-baboon-3019f9ef3d.webp,category_mismatch|manual_review_required,manual_review,/coloring-pages/animals|/coloring-pages|/coloring-pages/playing-cards,,
animals-playing-cards__animals-baboons__5f19666c69,animals-playing-cards,animals-baboons-5f19666c69.svg,pipeline/r2-upload/coloring-pages/svg/animals-playing-cards/animals-baboons-5f19666c69.svg,pipeline/r2-upload/coloring-pages/webp/animals-playing-cards/animals-baboons-5f19666c69.webp,Animals Baboons,animals-baboons-5f19666c69,coloring-pages/svg/animals-playing-cards/animals-baboons-5f19666c69.svg,coloring-pages/webp/animals-playing-cards/animals-baboons-5f19666c69.webp,category_mismatch|manual_review_required,manual_review,/coloring-pages/animals|/coloring-pages|/coloring-pages/playing-cards,,
animals-playing-cards__animals-baboons-hanging__398854ec28,animals-playing-cards,animals-baboons-hanging-398854ec28.svg,pipeline/r2-upload/coloring-pages/svg/animals-playing-cards/animals-baboons-hanging-398854ec28.svg,pipeline/r2-upload/coloring-pages/webp/animals-playing-cards/animals-baboons-hanging-398854ec28.webp,Animals Baboons Hanging,animals-baboons-hanging-398854ec28,coloring-pages/svg/animals-playing-cards/animals-baboons-hanging-398854ec28.svg,coloring-pages/webp/animals-playing-cards/animals-baboons-hanging-398854ec28.webp,category_mismatch|manual_review_required,manual_review,/coloring-pages/animals|/coloring-pages|/coloring-pages/playing-cards,,
animals-playing-cards__animals-badger__46333741c3,animals-playing-cards,animals-badger-46333741c3.svg,pipeline/r2-upload/coloring-pages/svg/animals-playing-cards/animals-badger-46333741c3.svg,pipeline/r2-upload/coloring-pages/webp/animals-playing-cards/animals-badger-46333741c3.webp,Animals Badger,animals-badger-46333741c3,coloring-pages/svg/animals-playing-cards/animals-badger-46333741c3.svg,coloring-pages/webp/animals-playing-cards/animals-badger-46333741c3.webp,category_mismatch|manual_review_required,manual_review,/coloring-pages/animals|/coloring-pages|/coloring-pages/playing-cards,,
animals-playing-cards__animals-badgers__701e4f01fa,animals-playing-cards,animals-badgers-701e4f01fa.svg,pipeline/r2-upload/coloring-pages/svg/animals-playing-cards/animals-badgers-701e4f01fa.svg,pipeline/r2-upload/coloring-pages/webp/animals-playing-cards/animals-badgers-701e4f01fa.webp,Animals Badgers,animals-badgers-701e4f01fa,coloring-pages/svg/animals-playing-cards/animals-badgers-701e4f01fa.svg,coloring-pages/webp/animals-playing-cards/animals-badgers-701e4f01fa.webp,category_mismatch|manual_review_required,manual_review,/coloring-pages/animals|/coloring-pages|/coloring-pages/playing-cards,,
animals-playing-cards__animals-badgers-wildlife__d717f79524,animals-playing-cards,animals-badgers-wildlife-d717f79524.svg,pipeline/r2-upload/coloring-pages/svg/animals-playing-cards/animals-badgers-wildlife-d717f79524.svg,pipeline/r2-upload/coloring-pages/webp/animals-playing-cards/animals-badgers-wildlife-d717f79524.webp,Animals Badgers Wildlife,animals-badgers-wildlife-d717f79524,coloring-pages/svg/animals-playing-cards/animals-badgers-wildlife-d717f79524.svg,coloring-pages/webp/animals-playing-cards/animals-badgers-wildlife-d717f79524.webp,category_mismatch|manual_review_required,manual_review,/coloring-pages/animals|/coloring-pages|/coloring-pages/playing-cards,,
animals-playing-cards__animals-bats__662bf20796,animals-playing-cards,animals-bats-662bf20796.svg,pipeline/r2-upload/coloring-pages/svg/animals-playing-cards/animals-bats-662bf20796.svg,pipeline/r2-upload/coloring-pages/webp/animals-playing-cards/animals-bats-662bf20796.webp,Animals Bats,animals-bats-662bf20796,coloring-pages/svg/animals-playing-cards/animals-bats-662bf20796.svg,coloring-pages/webp/animals-playing-cards/animals-bats-662bf20796.webp,category_mismatch|manual_review_required,manual_review,/coloring-pages/animals|/coloring-pages|/coloring-pages/playing-cards,,
