hubId,route,currentIndexable,currentSitemapInclusion,recommendation,consolidationTarget,redirectTarget,proposedSitemapInclusion,rationale,dateReviewed,activated,final_indexable,final_sitemap
hub_coloring_pages,/coloring-pages,true,true,retain and index,,,true,Primary gallery destination with comprehensive browsing intent.,2026-07-18,true,true,true
hub_animals,/coloring-pages/animals,true,true,retain and index,,,true,weak filename/title evidence: 14.4% of members contain a route-subject token,2026-07-18,true,true,true
hub_anime_girls,/coloring-pages/anime-girls,true,true,retain and index,,,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18,true,true,true
hub_bakery,/coloring-pages/bakery,true,true,retain and index,,,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18,true,true,true
hub_bats,/coloring-pages/bats,true,true,retain and index,,,true,weak filename/title evidence: 25.9% of members contain a route-subject token,2026-07-18,true,true,true
hub_bears,/coloring-pages/bears,true,true,retain and index,,,true,weak filename/title evidence: 6.7% of members contain a route-subject token,2026-07-18,true,true,true
hub_bees,/coloring-pages/bees,true,true,retain and index,,,true,weak filename/title evidence: 6.7% of members contain a route-subject token,2026-07-18,true,true,true
hub_beetles,/coloring-pages/beetles,true,true,retain and index,,,true,weak filename/title evidence: 8.0% of members contain a route-subject token,2026-07-18,true,true,true
hub_birds,/coloring-pages/birds,true,true,retain and index,,,true,direct filename/title evidence: 89.9% of members contain a route-subject token,2026-07-18,true,true,true
hub_birthday,/coloring-pages/birthday,true,true,retain and index,,,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18,true,true,true
hub_brachiosaurus,/coloring-pages/brachiosaurus,true,true,retain and index,,,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18,true,true,true
hub_bridges,/coloring-pages/bridges,true,true,retain and index,,,true,weak filename/title evidence: 0.0% of members contain a route-subject token,2026-07-18,true,true,true
hub_buildings,/coloring-pages/buildings,true,true,retain and index,,,true,weak filename/title evidence: 0.0% of members contain a route-subject token,2026-07-18,true,true,true
hub_butterflies,/coloring-pages/butterflies,true,true,retain and index,,,true,weak filename/title evidence: 7.7% of members contain a route-subject token,2026-07-18,true,true,true
hub_cakes,/coloring-pages/cakes,true,true,retain and index,,,true,weak filename/title evidence: 4.8% of members contain a route-subject token,2026-07-18,true,true,true
hub_cars,/coloring-pages/cars,true,true,retain and index,,,true,direct filename/title evidence: 94.3% of members contain a route-subject token,2026-07-18,true,true,true
hub_castles,/coloring-pages/castles,true,true,retain and index,,,true,weak filename/title evidence: 0.0% of members contain a route-subject token,2026-07-18,true,true,true
hub_cats,/coloring-pages/cats,true,true,retain and index,,,true,weak filename/title evidence: 7.3% of members contain a route-subject token,2026-07-18,true,true,true
hub_chess,/coloring-pages/chess,true,true,retain and index,,,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18,true,true,true
hub_chibi,/coloring-pages/chibi,true,true,retain and index,,,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18,true,true,true
