slot_id,component_family,placement_configuration,off_mode,placeholder_mode,live_mode,review_flag
rail-left-desktop,rail,rail-left-desktop,not rendered,stable development placeholder,rendered only with explicit valid slot mapping,
rail-right-desktop,rail,rail-right-desktop,not rendered,stable development placeholder,rendered only with explicit valid slot mapping,
home-header-banner,banner,home-header-banner,not rendered,stable development placeholder,rendered only with explicit valid slot mapping,
home-after-hero,banner,home-after-hero,not rendered,stable development placeholder,rendered only with explicit valid slot mapping,
home-lower-content,banner,home-lower-content,not rendered,stable development placeholder,rendered only with explicit valid slot mapping,review density/value before live activation
coloring-pages-header-banner,banner,coloring-pages-header-banner,not rendered,stable development placeholder,rendered only with explicit valid slot mapping,
coloring-pages-after-featured,banner,coloring-pages-after-featured,not rendered,stable development placeholder,rendered only with explicit valid slot mapping,
coloring-pages-lower-content,banner,coloring-pages-lower-content,not rendered,stable development placeholder,rendered only with explicit valid slot mapping,review density/value before live activation
hub-header-banner,banner,hub-header-banner,not rendered,stable development placeholder,rendered only with explicit valid slot mapping,
hub-after-gallery,banner,hub-after-gallery,not rendered,stable development placeholder,rendered only with explicit valid slot mapping,
hub-lower-content,banner,hub-lower-content,not rendered,stable development placeholder,rendered only with explicit valid slot mapping,review density/value before live activation
printable-header-banner,banner,printable-header-banner,not rendered,stable development placeholder,rendered only with explicit valid slot mapping,
printable-after-related,banner,printable-after-related,not rendered,stable development placeholder,rendered only with explicit valid slot mapping,review density/value before live activation
home-supporting-square,square,home-supporting-square,not rendered,stable development placeholder,rendered only with explicit valid slot mapping,review density/value before live activation
coloring-pages-supporting-square,square,coloring-pages-supporting-square,not rendered,stable development placeholder,rendered only with explicit valid slot mapping,review density/value before live activation
hub-post-header-banner,banner,hub-post-header-banner,not rendered,stable development placeholder,rendered only with explicit valid slot mapping,
hub-supporting-square,square,hub-supporting-square,not rendered,stable development placeholder,rendered only with explicit valid slot mapping,review density/value before live activation
printable-post-header-banner,banner,printable-post-header-banner,not rendered,stable development placeholder,rendered only with explicit valid slot mapping,
printable-supporting-square,square,printable-supporting-square,not rendered,stable development placeholder,rendered only with explicit valid slot mapping,review density/value before live activation
trust-header-banner,banner,trust-header-banner,not rendered,stable development placeholder,rendered only with explicit valid slot mapping,
sitemap-header-banner,banner,sitemap-header-banner,not rendered,stable development placeholder,rendered only with explicit valid slot mapping,
