hub_id,route,title,tier,indexability,inventory_count,parent_route,review_status
hub_coloring_pages,/coloring-pages,Coloring Pages,A,index,6352,,reviewed
hub_animals,/coloring-pages/animals,Animals Coloring Pages,A,index,1450,/coloring-pages,reviewed
hub_anime_girls,/coloring-pages/anime-girls,Anime Girls Coloring Pages,A,index,905,/coloring-pages,reviewed
hub_bakery,/coloring-pages/bakery,Bakery Coloring Pages,B,index,93,/coloring-pages/food,reviewed
hub_bats,/coloring-pages/bats,Bats Coloring Pages,B,index,27,/coloring-pages/animals,reviewed
hub_bears,/coloring-pages/bears,Bears Coloring Pages,B,index,60,/coloring-pages/animals,reviewed
hub_bees,/coloring-pages/bees,Bees Coloring Pages,B,index,15,/coloring-pages/insects,reviewed
hub_beetles,/coloring-pages/beetles,Beetles Coloring Pages,B,index,25,/coloring-pages/insects,reviewed
hub_birds,/coloring-pages/birds,Birds Coloring Pages,B,index,188,/coloring-pages/animals,reviewed
hub_birthday,/coloring-pages/birthday,Birthday Coloring Pages,B,index,211,/coloring-pages/holidays,reviewed
hub_brachiosaurus,/coloring-pages/brachiosaurus,Brachiosaurus Coloring Pages,B,index,15,/coloring-pages/dinosaurs,reviewed
hub_bridges,/coloring-pages/bridges,Bridges Coloring Pages,B,index,23,/coloring-pages/buildings,reviewed
hub_buildings,/coloring-pages/buildings,Buildings Coloring Pages,A,index,156,/coloring-pages,reviewed
hub_butterflies,/coloring-pages/butterflies,Butterflies Coloring Pages,B,index,26,/coloring-pages/insects,reviewed
hub_cakes,/coloring-pages/cakes,Cakes Coloring Pages,B,index,21,/coloring-pages/food,reviewed
hub_cars,/coloring-pages/cars,Cars Coloring Pages,B,index,193,/coloring-pages/vehicles,reviewed
hub_castles,/coloring-pages/castles,Castles Coloring Pages,B,index,25,/coloring-pages/buildings,reviewed
hub_cats,/coloring-pages/cats,Cats Coloring Pages,B,index,55,/coloring-pages/animals,reviewed
hub_chess,/coloring-pages/chess,Chess Coloring Pages,B,index,23,/coloring-pages/playing-cards,reviewed
hub_chibi,/coloring-pages/chibi,Chibi Coloring Pages,B,index,908,/coloring-pages/easy,reviewed
hub_chibi_dogs,/coloring-pages/chibi-dogs,Chibi Dogs Coloring Pages,B,index,79,/coloring-pages/animals,reviewed
hub_chibi_flowers,/coloring-pages/chibi-flowers,Chibi Flowers Coloring Pages,B,index,152,/coloring-pages/plants,reviewed
hub_christmas,/coloring-pages/christmas,Christmas Coloring Pages,B,index,332,/coloring-pages/holidays,reviewed
hub_christmas_dogs,/coloring-pages/christmas-dogs,Christmas Dogs Coloring Pages,B,index,36,/coloring-pages/animals,reviewed
hub_cows,/coloring-pages/cows,Cows Coloring Pages,B,index,14,/coloring-pages/animals,reviewed
hub_crabs,/coloring-pages/crabs,Crabs Coloring Pages,B,index,21,/coloring-pages/sea-life,reviewed
hub_cute,/coloring-pages/cute,Cute Coloring Pages,B,index,375,/coloring-pages/easy,reviewed
hub_deer,/coloring-pages/deer,Deer Coloring Pages,B,index,15,/coloring-pages/animals,reviewed
hub_detailed_for_adults,/coloring-pages/detailed-for-adults,Detailed Coloring Pages for Adults,A,index,1459,/coloring-pages,reviewed
hub_dinosaurs,/coloring-pages/dinosaurs,Dinosaurs Coloring Pages,A,index,189,/coloring-pages/prehistoric-animals,reviewed
hub_diplodocus,/coloring-pages/diplodocus,Diplodocus Coloring Pages,B,index,16,/coloring-pages/dinosaurs,reviewed
hub_dogs,/coloring-pages/dogs,Dogs Coloring Pages,B,index,284,/coloring-pages/animals,reviewed
hub_dolphins,/coloring-pages/dolphins,Dolphins Coloring Pages,B,index,14,/coloring-pages/sea-life,reviewed
hub_dragons,/coloring-pages/dragons,Dragons Coloring Pages,B,index,259,/coloring-pages/fantasy,reviewed
hub_ducks,/coloring-pages/ducks,Ducks Coloring Pages,B,index,19,/coloring-pages/birds,reviewed
hub_dungeon,/coloring-pages/dungeon,Dungeon Coloring Pages,B,index,99,/coloring-pages,reviewed
hub_eagles,/coloring-pages/eagles,Eagles Coloring Pages,B,index,22,/coloring-pages/birds,reviewed
hub_easy,/coloring-pages/easy,Easy Coloring Pages,D,noindex,1300,/coloring-pages/for-kids,consolidated
hub_elephants,/coloring-pages/elephants,Elephants Coloring Pages,B,index,17,/coloring-pages/animals,reviewed
hub_fairies,/coloring-pages/fairies,Fairies Coloring Pages,B,index,37,/coloring-pages/fantasy-creatures,reviewed
hub_fantasy,/coloring-pages/fantasy,Fantasy Coloring Pages,A,index,1265,/coloring-pages,reviewed
hub_fantasy_creatures,/coloring-pages/fantasy-creatures,Fantasy Creatures Coloring Pages,B,index,531,/coloring-pages/fantasy,reviewed
hub_fantasy_dragons,/coloring-pages/fantasy-dragons,Fantasy Dragons Coloring Pages,B,index,49,/coloring-pages/fantasy-creatures,reviewed
hub_fish,/coloring-pages/fish,Fish Coloring Pages,B,index,16,/coloring-pages/sea-life,reviewed
hub_flowers,/coloring-pages/flowers,Flowers Coloring Pages,A,index,346,/coloring-pages/plants,reviewed
hub_food,/coloring-pages/food,Food Coloring Pages,A,index,261,/coloring-pages,reviewed
hub_for_kids,/coloring-pages/for-kids,Coloring Pages for Kids,A,index,1335,/coloring-pages,reviewed
hub_forest,/coloring-pages/forest,Forest Coloring Pages,B,index,72,/coloring-pages,reviewed
hub_foxes,/coloring-pages/foxes,Foxes Coloring Pages,B,index,40,/coloring-pages/animals,reviewed
hub_garden,/coloring-pages/garden,Garden Coloring Pages,B,index,195,/coloring-pages,reviewed
hub_garden_flowers,/coloring-pages/garden-flowers,Garden Flowers Coloring Pages,B,index,95,/coloring-pages/plants,reviewed
hub_geometric,/coloring-pages/geometric,Geometric Coloring Pages,B,index,55,/coloring-pages/detailed-for-adults,reviewed
hub_geometric_dogs,/coloring-pages/geometric-dogs,Geometric Dogs Coloring Pages,B,index,85,/coloring-pages/animals,reviewed
