hub_id,route,recommendation,consolidation_target,redirect_target,proposed_sitemap_inclusion,activated,rationale,date_reviewed
hub_coloring_pages,/coloring-pages,retain and index,,,true,true,Primary gallery destination with comprehensive browsing intent.,2026-07-18
hub_animals,/coloring-pages/animals,retain and index,,,true,true,weak filename/title evidence: 14.4% of members contain a route-subject token,2026-07-18
hub_anime_girls,/coloring-pages/anime-girls,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_bakery,/coloring-pages/bakery,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_bats,/coloring-pages/bats,retain and index,,,true,true,weak filename/title evidence: 25.9% of members contain a route-subject token,2026-07-18
hub_bears,/coloring-pages/bears,retain and index,,,true,true,weak filename/title evidence: 6.7% of members contain a route-subject token,2026-07-18
hub_bees,/coloring-pages/bees,retain and index,,,true,true,weak filename/title evidence: 6.7% of members contain a route-subject token,2026-07-18
hub_beetles,/coloring-pages/beetles,retain and index,,,true,true,weak filename/title evidence: 8.0% of members contain a route-subject token,2026-07-18
hub_birds,/coloring-pages/birds,retain and index,,,true,true,direct filename/title evidence: 89.9% of members contain a route-subject token,2026-07-18
hub_birthday,/coloring-pages/birthday,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_brachiosaurus,/coloring-pages/brachiosaurus,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_bridges,/coloring-pages/bridges,retain and index,,,true,true,weak filename/title evidence: 0.0% of members contain a route-subject token,2026-07-18
hub_buildings,/coloring-pages/buildings,retain and index,,,true,true,weak filename/title evidence: 0.0% of members contain a route-subject token,2026-07-18
hub_butterflies,/coloring-pages/butterflies,retain and index,,,true,true,weak filename/title evidence: 7.7% of members contain a route-subject token,2026-07-18
hub_cakes,/coloring-pages/cakes,retain and index,,,true,true,weak filename/title evidence: 4.8% of members contain a route-subject token,2026-07-18
hub_cars,/coloring-pages/cars,retain and index,,,true,true,direct filename/title evidence: 94.3% of members contain a route-subject token,2026-07-18
hub_castles,/coloring-pages/castles,retain and index,,,true,true,weak filename/title evidence: 0.0% of members contain a route-subject token,2026-07-18
hub_cats,/coloring-pages/cats,retain and index,,,true,true,weak filename/title evidence: 7.3% of members contain a route-subject token,2026-07-18
hub_chess,/coloring-pages/chess,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_chibi,/coloring-pages/chibi,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_chibi_dogs,/coloring-pages/chibi-dogs,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_chibi_flowers,/coloring-pages/chibi-flowers,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_christmas,/coloring-pages/christmas,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_christmas_dogs,/coloring-pages/christmas-dogs,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_cows,/coloring-pages/cows,retain and index,,,true,true,weak filename/title evidence: 0.0% of members contain a route-subject token,2026-07-18
hub_crabs,/coloring-pages/crabs,retain and index,,,true,true,weak filename/title evidence: 0.0% of members contain a route-subject token,2026-07-18
hub_cute,/coloring-pages/cute,retain and index,,,true,true,weak filename/title evidence: 7.5% of members contain a route-subject token,2026-07-18
hub_deer,/coloring-pages/deer,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_detailed_for_adults,/coloring-pages/detailed-for-adults,retain and index,,,true,true,"Corrected membership now represents a distinct, evidence-backed browsing intent.",2026-07-18
hub_dinosaurs,/coloring-pages/dinosaurs,retain and index,,,true,true,The inventory is the dinosaur subset of the broader Prehistoric Animals hub.,2026-07-18
hub_diplodocus,/coloring-pages/diplodocus,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_dogs,/coloring-pages/dogs,retain and index,,,true,true,direct filename/title evidence: 92.3% of members contain a route-subject token,2026-07-18
hub_dolphins,/coloring-pages/dolphins,retain and index,,,true,true,weak filename/title evidence: 7.1% of members contain a route-subject token,2026-07-18
hub_dragons,/coloring-pages/dragons,retain and index,,,true,true,weak filename/title evidence: 3.1% of members contain a route-subject token,2026-07-18
hub_ducks,/coloring-pages/ducks,retain and index,,,true,true,weak filename/title evidence: 5.3% of members contain a route-subject token,2026-07-18
hub_dungeon,/coloring-pages/dungeon,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_eagles,/coloring-pages/eagles,retain and index,,,true,true,weak filename/title evidence: 4.5% of members contain a route-subject token,2026-07-18
hub_easy,/coloring-pages/easy,manual editorial review,,,true,false,"The route has a distinct difficulty intent, but current metadata does not provide an independent difficulty signal; destructive membership or indexation changes remain deferred.",2026-07-18
hub_elephants,/coloring-pages/elephants,retain and index,,,true,true,weak filename/title evidence: 11.8% of members contain a route-subject token,2026-07-18
hub_fairies,/coloring-pages/fairies,retain and index,,,true,true,weak filename/title evidence: 8.1% of members contain a route-subject token,2026-07-18
hub_fantasy,/coloring-pages/fantasy,retain and index,,,true,true,direct filename/title evidence: 57.6% of members contain a route-subject token,2026-07-18
