route,source,matched_wording,action,reason
/coloring-pages,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/animals,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/animals,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/anime-girls,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/anime-girls,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/beetles,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/beetles,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/birds,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/birds,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/birthday,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/birthday,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/bridges,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/bridges,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/buildings,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/buildings,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/butterflies,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/butterflies,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/cars,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/cars,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/cats,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/cats,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/chibi,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/chibi,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/chibi-flowers,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/chibi-flowers,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/christmas,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/christmas,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/crabs,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/crabs,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/cute,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/cute,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/detailed-for-adults,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
