asset_id,route,title,primary_hub_id,field,candidate_value,state,confidence,provenance,decision,decision_value,reviewer,reviewed_on,rationale
animals__animals-puppies__093b6e6276,/printables/animals/animals-puppies-093b6e6276,Animals Puppies,hub_animals,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
anime-girls__anime-girl-chibi-bear-summon__443fa88c61,/printables/anime-girls/anime-girl-chibi-bear-summon-443fa88c61,Anime Girl Chibi Bear Summon,hub_anime_girls,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
anime-girls__anime-girl-chibi-bear-summon__443fa88c61,/printables/anime-girls/anime-girl-chibi-bear-summon-443fa88c61,Anime Girl Chibi Bear Summon,hub_anime_girls,detailClassification,Easy,B. RULE-BASED REVIEWABLE,reviewable rule candidate,explicit_collection_assignment,pending,,,,Collection membership can suggest a detail label but does not establish it as public metadata.
anime-girls__anime-girl-chibi-cow-summon__4b2d037f54,/printables/anime-girls/anime-girl-chibi-cow-summon-4b2d037f54,Anime Girl Chibi Cow Summon,hub_anime_girls,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
anime-girls__anime-girl-chibi-cow-summon__4b2d037f54,/printables/anime-girls/anime-girl-chibi-cow-summon-4b2d037f54,Anime Girl Chibi Cow Summon,hub_anime_girls,detailClassification,Easy,B. RULE-BASED REVIEWABLE,reviewable rule candidate,explicit_collection_assignment,pending,,,,Collection membership can suggest a detail label but does not establish it as public metadata.
anime-girls__anime-girl-cute-teddy-bear-plushie__9e3171aa9b,/printables/anime-girls/anime-girl-cute-teddy-bear-plushie-9e3171aa9b,Anime Girl Cute Teddy Bear Plushie,hub_anime_girls,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
anime-girls__anime-girl-cute-teddy-bear-plushie__9e3171aa9b,/printables/anime-girls/anime-girl-cute-teddy-bear-plushie-9e3171aa9b,Anime Girl Cute Teddy Bear Plushie,hub_anime_girls,detailClassification,Easy,B. RULE-BASED REVIEWABLE,reviewable rule candidate,explicit_collection_assignment,pending,,,,Collection membership can suggest a detail label but does not establish it as public metadata.
anime-girls__anime-girl-fluffy-clothes-kawaii__09f36541df,/printables/anime-girls/anime-girl-fluffy-clothes-kawaii-09f36541df,Anime Girl Fluffy Clothes Kawaii,hub_anime_girls,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
anime-girls__anime-girl-fluffy-clothes-kawaii__09f36541df,/printables/anime-girls/anime-girl-fluffy-clothes-kawaii-09f36541df,Anime Girl Fluffy Clothes Kawaii,hub_anime_girls,detailClassification,Easy,B. RULE-BASED REVIEWABLE,reviewable rule candidate,explicit_collection_assignment,pending,,,,Collection membership can suggest a detail label but does not establish it as public metadata.
anime-girls__anime-girl-kitten-hoodie-plushie__eccb22cf25,/printables/animals/anime-girl-kitten-hoodie-plushie-eccb22cf25,Anime Girl Kitten Hoodie Plushie,hub_animals,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
