field,value,occurrence_count,routes,related_context,action
visible_summary,A portrait printable in the Animals collection.,17,/printables/animals/animals-alligator-4feec8505a|/printables/animals/animals-antelopes-49a5eb802f|/printables/animals/animals-buffalo-42947367b4|/printables/animals/animals-chickens-1d898c58de|/printables/animals/animals-crocodile-0389692b30|/printables/animals/animals-falcons-39d20877ca|/printables/animals/animals-frogs-242fdad0e9|/printables/animals/animals-gazelles-2ad6b27392|/printables/animals/animals-goat-74e02be085|/printables/animals/animals-goose-918235b6af|/printables/animals/animals-hawk-bb1442ad50|/printables/animals/animals-hyenas-b0e61b6bb7|/printables/animals/animals-leopards-9be94cf823|/printables/animals/animals-pig-67546b89c3|/printables/animals/animals-seal-02d2527a31|/printables/animals/animals-turkey-a5e1952cea|/printables/animals/animals-walrus-9d072cd3d9,true,retained standard terminology among records sharing verified context
visible_summary,A portrait printable in the Butterflies collection.,15,/printables/animals/animals-butterflies-016ffbb0de|/printables/animals/fantasy-butterfly-fairy-meadow-0a4da01303|/printables/animals/insects-blue-morpho-butterfly-in-rainforest-feb57c5778|/printables/animals/insects-butterfly-08f243899d|/printables/animals/insects-butterfly-eating-cabbage-9079a8da7c|/printables/animals/insects-butterfly-on-flower-bush-f1165f1f08|/printables/animals/insects-monarch-butterfly-9d324206d0|/printables/animals/insects-monarch-butterfly-flying-1c458c2c9a|/printables/animals/insects-painted-lady-butterfly-9c359ad5bd|/printables/animals/insects-red-admiral-butterfly-c29c16d8ed|/printables/animals/insects-swallowtail-butterfly-flying-81e01c22e6|/printables/animals/insects-swallowtail-butterfly-on-blossom-cc2f340b3a|/printables/animals/mandala-geometry-patterns-butterfly-4a780e044f|/printables/animals/mandala-geometry-patterns-insects-butterfly-a9ae5dd12e|/printables/animals/mandala-geometry-patterns-insects-monarch-butterfly-d093da068d,true,retained standard terminology among records sharing verified context
visible_summary,A portrait printable in the Dogs collection.,59,/printables/animals/animals-dog-18819a83c1|/printables/animals/animals-puppies-093b6e6276|/printables/animals/dogs-afghan-hound-cdbb79eb85|/printables/animals/dogs-akita-c10f6f8db8|/printables/animals/dogs-akita-cute-715c4d60d6|/printables/animals/dogs-alaskan-malamute-12fb8f1aaa|/printables/animals/dogs-alaskan-malamute-playing-279d90bedb|/printables/animals/dogs-anatolian-shepherd-dog-fb092f194b|/printables/animals/dogs-australian-cattle-dog-7b5008c2b1|/printables/animals/dogs-australian-shepherd-799da4cea1|/printables/animals/dogs-basenji-c7d4483f58|/printables/animals/dogs-beagle-a50dd43a49|/printables/animals/dogs-belgian-malinois-46824ae659|/printables/animals/dogs-belgian-sheepdog-2bb2249f5a|/printables/animals/dogs-belgian-tervuren-9696d630ec|/printables/animals/dogs-bernese-mountain-dog-9cf878649d|/printables/animals/dogs-bloodhound-50cc55e580|/printables/animals/dogs-borzoi-c1a2a87ee2|/printables/animals/dogs-bullmastiff-adb1172095|/printables/animals/dogs-catahoula-leopard-dog-c49e6864b3|/printables/animals/dogs-chesapeake-bay-retriever-2291012e65|/printables/animals/dogs-chihuahua-c9c8719ba8|/printables/animals/dogs-chinese-crested-2014588380|/printables/animals/dogs-cocker-spaniel-84b8ebce83|/printables/animals/dogs-dalmatian-944449a4f0|/printables/animals/dogs-daschund-57c8834384|/printables/animals/dogs-doberman-pinscher-78c2fe70bb|/printables/animals/dogs-english-mastiff-d1948d8ea0|/printables/animals/dogs-english-springer-spaniel-024f44493d|/printables/animals/dogs-german-shepherd-e52620bf32|/printables/animals/dogs-golden-retriever-8e82ff6098|/printables/animals/dogs-great-dane-f21172dbe7|/printables/animals/dogs-great-pyrenees-c84862b5e4|/printables/animals/dogs-havanese-fd71fa20e8|/printables/animals/dogs-irish-setter-ed296dbe4e|/printables/animals/dogs-irish-wolfhound-b6100b5ef9|/printables/animals/dogs-italian-greyhound-5c6bfe72a9|/printables/animals/dogs-labrador-retriever-9fe206f9f1|/printables/animals/dogs-leonberger-5ca62547ad|/printables/animals/dogs-lhasa-apso-2db6341f6d|/printables/animals/dogs-miniature-schnauzer-20fb8aedcb|/printables/animals/dogs-old-english-sheepdog-28718e4460|/printables/animals/dogs-papillon-2c9e3d5619|/printables/animals/dogs-pekingese-e025aa08c3|/printables/animals/dogs-pomeranian-8aaca92c84|/printables/animals/dogs-poodle-50a394fefc|/printables/animals/dogs-portuguese-water-dog-89720b4df5|/printables/animals/dogs-rhodesian-ridgeback-40fff3ca23|/printables/animals/dogs-rottweiler-ee525e9f61|/printables/animals/dogs-saint-bernard-8bdce2f945|/printables/animals/dogs-saluki-af92dc344b|/printables/animals/dogs-samoyed-016ca48e4a|/printables/animals/dogs-shiba-inu-d147a6d1e3|/printables/animals/dogs-shih-tzu-6b7d966998|/printables/animals/dogs-siberian-husky-48e8541c22|/printables/animals/dogs-tibetan-mastiff-25e1f355d8|/printables/animals/dogs-vizsla-eccd8223c2|/printables/animals/dogs-whippet-c8e6a7ce77|/printables/animals/dogs-wirehaired-pointing-griffon-5228741899,true,retained standard terminology among records sharing verified context
visible_summary,A portrait printable in the Dolphins collection.,5,/printables/animals/animals-dolphins-06e09058c7|/printables/animals/mandala-geometry-patterns-dolphin-e735059a82|/printables/animals/sea-life-bottlenose-dolphin-family-92f507e9b7|/printables/animals/sea-life-dolphin-ed4e474d19|/printables/animals/sea-life-dolphin-jumping-over-waves-b601f8398a,true,retained standard terminology among records sharing verified context
visible_summary,A portrait printable in the Ducks collection.,7,/printables/animals/animals-duck-f46c4f4007|/printables/animals/birds-ducks-1dbebbc6d6|/printables/animals/birds-pintail-duck-52a43c5809|/printables/animals/birds-ruddy-duck-801d89bb68|/printables/animals/birds-shoveler-duck-764e73170a|/printables/animals/birds-whistling-duck-86413a3c91|/printables/animals/birds-wood-duck-cf6285ec21,true,retained standard terminology among records sharing verified context
visible_summary,A portrait printable in the Eagles collection.,13,/printables/animals/animals-eagle-0e2698945b|/printables/animals/animals-eagles-9c48219eed|/printables/animals/birds-bald-eagle-78120718e1|/printables/animals/birds-bald-eagle-flying-f56d024672|/printables/animals/birds-bald-eagle-taking-flight-c6a7fe5797|/printables/animals/birds-eagle-419fc01f51|/printables/animals/birds-eagle-majestic-cc84ecdffc|/printables/animals/birds-golden-eagle-60db865aca|/printables/animals/birds-harpy-eagle-c4e15d34f5|/printables/eagles/fantasy-eagle-companion-bb6c4b083f|/printables/eagles/fantasy-ranger-eagle-companion-efc16169a5|/printables/detailed-for-adults/mandala-geometry-patterns-bald-eagle-cd94a6a15f|/printables/animals/sea-life-eagle-ray-spotted-ray-pattern-f6004fd8d9,true,retained standard terminology among records sharing verified context
visible_summary,A portrait printable in the Elephants collection.,3,/printables/animals/animals-elephants-44cfe62b98|/printables/elephants/indoor-plants-colocasia-elephant-ear-b36b26cf0c|/printables/detailed-for-adults/mandala-geometry-patterns-elephant-da13da6c8c,true,retained standard terminology among records sharing verified context
visible_summary,A portrait printable in the Otters collection.,3,/printables/animals/animals-otter-60dca506d6|/printables/animals/sea-life-sea-otter-56f0b93d65|/printables/animals/sea-life-sea-otter-floating-on-back-with-seashell-83ff75935e,true,retained standard terminology among records sharing verified context
visible_summary,A portrait printable in the Owls collection.,16,/printables/animals/animals-owls-73a12387df|/printables/animals/birds-barn-owl-17018a266e|/printables/animals/birds-great-horned-owl-49837e4c8e|/printables/animals/birds-long-eared-owl-738e4e3fa3|/printables/animals/birds-owl-d68dcf1f0b|/printables/animals/birds-owls-673b806fff|/printables/animals/birds-screech-owl-b4cba0244b|/printables/animals/birds-short-eared-owl-8079801fab|/printables/animals/birds-snowy-owl-7d1c01520f|/printables/fantasy/fantasy-celestial-island-owl-84979a23a7|/printables/fantasy/fantasy-celestial-owl-02a6371aeb|/printables/fantasy/fantasy-owl-sorcerer-tower-32009ca6d6|/printables/fantasy/fantasy-owl-spell-tome-646d7130aa|/printables/fantasy/fantasy-snow-owl-spirit-af03006edf|/printables/fantasy/fantasy-summoned-owl-spell-tome-61a4188d0a|/printables/fantasy/fantasy-wizard-familiar-owl-97a266eeba,true,retained standard terminology among records sharing verified context
visible_summary,A portrait printable in the Penguins collection.,5,/printables/animals/animals-penguins-9c3dda80d1|/printables/animals/birds-penguin-ae406770d7|/printables/animals/birds-penguin-on-ice-0827aa8b09|/printables/detailed-for-adults/mandala-geometry-patterns-penguin-5e5a878b04|/printables/animals/sea-life-penguin-56a7dc441c,true,retained standard terminology among records sharing verified context
