printable_id,route,prose_summary,missing_verified_fields,unapproved_candidates,review_reason
animals__animals-puppies__093b6e6276,/printables/animals/animals-puppies-093b6e6276,present,style|seasonal|detail|audience,Coloring Pages for Kids,audience/detail candidate lacks independent review
anime-girls__anime-girl-chibi-bear-summon__443fa88c61,/printables/anime-girls/anime-girl-chibi-bear-summon-443fa88c61,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
anime-girls__anime-girl-chibi-cow-summon__4b2d037f54,/printables/anime-girls/anime-girl-chibi-cow-summon-4b2d037f54,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
anime-girls__anime-girl-cute-teddy-bear-plushie__9e3171aa9b,/printables/anime-girls/anime-girl-cute-teddy-bear-plushie-9e3171aa9b,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
anime-girls__anime-girl-fluffy-clothes-kawaii__09f36541df,/printables/anime-girls/anime-girl-fluffy-clothes-kawaii-09f36541df,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
anime-girls__anime-girl-kitten-hoodie-plushie__eccb22cf25,/printables/animals/anime-girl-kitten-hoodie-plushie-eccb22cf25,present,seasonal|detail|audience,Coloring Pages for Kids,audience/detail candidate lacks independent review
anime-girls__anime-girl-kitten-hoodie-plushie-climbing-tree__8ff8b1a04a,/printables/animals/anime-girl-kitten-hoodie-plushie-climbing-tree-8ff8b1a04a,present,seasonal|detail|audience,Coloring Pages for Kids,audience/detail candidate lacks independent review
anime-girls__anime-girl-kitten-hoodie-plushie-climbing-tree-smiling__5677e16222,/printables/animals/anime-girl-kitten-hoodie-plushie-climbing-tree-smiling-5677e16222,present,seasonal|detail|audience,Coloring Pages for Kids,audience/detail candidate lacks independent review
anime-girls__anime-girl-kitten-hoodie-plushie-sitting-on-tree__6276a752d3,/printables/animals/anime-girl-kitten-hoodie-plushie-sitting-on-tree-6276a752d3,present,seasonal|detail|audience,Coloring Pages for Kids,audience/detail candidate lacks independent review
anime-girls__anime-girl-summoning-cute-heart-plushies__eb52e2276f,/printables/anime-girls/anime-girl-summoning-cute-heart-plushies-eb52e2276f,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
anime-girls__anime-girl-summoning-cute-hearts__2cdbd95749,/printables/anime-girls/anime-girl-summoning-cute-hearts-2cdbd95749,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
anime-girls__anime-girl-summoning-jutsu-cute-dinosaur-plushies__e958c58eca,/printables/animals/anime-girl-summoning-jutsu-cute-dinosaur-plushies-e958c58eca,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
anime-girls__anime-girl-summoning-jutsu-cute-dragon-plushies__3f2c634dbf,/printables/anime-girls/anime-girl-summoning-jutsu-cute-dragon-plushies-3f2c634dbf,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
anime-girls__anime-girl-summoning-jutsu-cute-giraffe-plushies__c29b50e685,/printables/anime-girls/anime-girl-summoning-jutsu-cute-giraffe-plushies-c29b50e685,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
