printable_id,route,title,metadata_title,alt_text,canonical_url,robots_directive,primary_collection,memberships,title_duplicate_design_number,server_preview_source,hydrated_preview_source,preview_width,preview_height,json_ld_image_width,json_ld_image_height,metadata_consistency
animals__animals-alligator__4feec8505a,/printables/animals/animals-alligator-4feec8505a,Animals Alligator,Animals Alligator coloring page | Free Printable,Animals Alligator coloring page,https://www.ilovecoloringpage.com/printables/animals/animals-alligator-4feec8505a,"index,follow",hub_animals,hub_animals|hub_coloring_pages,,webp/animals/animals-alligator-4feec8505a.webp,webp/animals/animals-alligator-4feec8505a.webp,341,512,341,512,true
animals__animals-antelopes__49a5eb802f,/printables/animals/animals-antelopes-49a5eb802f,Animals Antelopes,Animals Antelopes coloring page | Free Printable,Animals Antelopes coloring page,https://www.ilovecoloringpage.com/printables/animals/animals-antelopes-49a5eb802f,"index,follow",hub_animals,hub_animals|hub_coloring_pages,,webp/animals/animals-antelopes-49a5eb802f.webp,webp/animals/animals-antelopes-49a5eb802f.webp,341,512,341,512,true
animals__animals-buffalo__42947367b4,/printables/animals/animals-buffalo-42947367b4,Animals Buffalo,Animals Buffalo coloring page | Free Printable,Animals Buffalo coloring page,https://www.ilovecoloringpage.com/printables/animals/animals-buffalo-42947367b4,"index,follow",hub_animals,hub_animals|hub_coloring_pages,,webp/animals/animals-buffalo-42947367b4.webp,webp/animals/animals-buffalo-42947367b4.webp,341,512,341,512,true
animals__animals-butterflies__016ffbb0de,/printables/animals/animals-butterflies-016ffbb0de,Animals Butterflies,Animals Butterflies coloring page | Free Printable,Animals Butterflies coloring page,https://www.ilovecoloringpage.com/printables/animals/animals-butterflies-016ffbb0de,"index,follow",hub_animals,hub_animals|hub_butterflies|hub_coloring_pages|hub_insects,,webp/animals/animals-butterflies-016ffbb0de.webp,webp/animals/animals-butterflies-016ffbb0de.webp,341,512,341,512,true
animals__animals-chickens__1d898c58de,/printables/animals/animals-chickens-1d898c58de,Animals Chickens,Animals Chickens coloring page | Free Printable,Animals Chickens coloring page,https://www.ilovecoloringpage.com/printables/animals/animals-chickens-1d898c58de,"index,follow",hub_animals,hub_animals|hub_coloring_pages,,webp/animals/animals-chickens-1d898c58de.webp,webp/animals/animals-chickens-1d898c58de.webp,341,512,341,512,true
animals__animals-crocodile__0389692b30,/printables/animals/animals-crocodile-0389692b30,Animals Crocodile,Animals Crocodile coloring page | Free Printable,Animals Crocodile coloring page,https://www.ilovecoloringpage.com/printables/animals/animals-crocodile-0389692b30,"index,follow",hub_animals,hub_animals|hub_coloring_pages,,webp/animals/animals-crocodile-0389692b30.webp,webp/animals/animals-crocodile-0389692b30.webp,341,512,341,512,true
animals__animals-dog__18819a83c1,/printables/animals/animals-dog-18819a83c1,Animals Dog,Animals Dog coloring page | Free Printable,Animals Dog coloring page,https://www.ilovecoloringpage.com/printables/animals/animals-dog-18819a83c1,"index,follow",hub_animals,hub_animals|hub_coloring_pages|hub_dogs,,webp/animals/animals-dog-18819a83c1.webp,webp/animals/animals-dog-18819a83c1.webp,341,512,341,512,true
animals__animals-dolphins__06e09058c7,/printables/animals/animals-dolphins-06e09058c7,Animals Dolphins,Animals Dolphins coloring page | Free Printable,Animals Dolphins coloring page,https://www.ilovecoloringpage.com/printables/animals/animals-dolphins-06e09058c7,"index,follow",hub_animals,hub_animals|hub_coloring_pages|hub_dolphins|hub_sea_life,,webp/animals/animals-dolphins-06e09058c7.webp,webp/animals/animals-dolphins-06e09058c7.webp,341,512,341,512,true
animals__animals-duck__f46c4f4007,/printables/animals/animals-duck-f46c4f4007,Animals Duck,Animals Duck coloring page | Free Printable,Animals Duck coloring page,https://www.ilovecoloringpage.com/printables/animals/animals-duck-f46c4f4007,"index,follow",hub_animals,hub_animals|hub_coloring_pages|hub_ducks,,webp/animals/animals-duck-f46c4f4007.webp,webp/animals/animals-duck-f46c4f4007.webp,341,512,341,512,true
animals__animals-eagle__0e2698945b,/printables/animals/animals-eagle-0e2698945b,Animals Eagle,Animals Eagle coloring page | Free Printable,Animals Eagle coloring page,https://www.ilovecoloringpage.com/printables/animals/animals-eagle-0e2698945b,"index,follow",hub_animals,hub_animals|hub_coloring_pages|hub_eagles,,webp/animals/animals-eagle-0e2698945b.webp,webp/animals/animals-eagle-0e2698945b.webp,341,512,341,512,true
animals__animals-eagles__9c48219eed,/printables/animals/animals-eagles-9c48219eed,Animals Eagles,Animals Eagles coloring page | Free Printable,Animals Eagles coloring page,https://www.ilovecoloringpage.com/printables/animals/animals-eagles-9c48219eed,"index,follow",hub_animals,hub_animals|hub_coloring_pages|hub_eagles,,webp/animals/animals-eagles-9c48219eed.webp,webp/animals/animals-eagles-9c48219eed.webp,341,512,341,512,true
