scope,path,route,field,representation,kind,line,column,nearby_text
first-party-source,pipeline/scripts/audit-public-punctuation.mjs,,text,raw,html-entity,57,22,", [""html-entity"", ""&"" + ""mdash;""], [""html-entity"", ""&#8212;""], [""html-entity"", ""&#x2014;""], [""javascript-escape"
first-party-source,pipeline/scripts/audit-public-punctuation.mjs,,text,raw,html-entity,80,15,"ce(new RegExp(""&"" + ""mdash;"", ""gi""), EM_DASH) .replace(/&#8212;/gi, EM_DASH) .replace(/&#x2014;/gi, EM_DASH); } functi"
first-party-source,pipeline/scripts/audit-public-punctuation.mjs,,text,raw,html-entity,58,22,"sh;""], [""html-entity"", ""&#8212;""], [""html-entity"", ""&#x2014;""], [""javascript-escape"", ""\\"" + ""u"" + ""2014""], [""ja"
first-party-source,pipeline/scripts/audit-public-punctuation.mjs,,text,raw,html-entity,81,15,", EM_DASH) .replace(/&#8212;/gi, EM_DASH) .replace(/&#x2014;/gi, EM_DASH); } function fieldFor(text, index) { const p"
generated-public-output,out/coloring-pages/animals/page/2.html,//coloring-pages/animals/page/2,@context,raw,unicode,1,21510,"a-label=""View Anime Girl Saber Toothed Tiger Hoodie Plushie — Design 1 printable page"" href=""/printables/animals/anime-gi"
generated-public-output,out/coloring-pages/animals/page/2.html,//coloring-pages/animals/page/2,@context,raw,unicode,1,21876,"pan><img alt=""Anime Girl Saber Toothed Tiger Hoodie Plushie — Design 1 coloring page"" class=""asset-image"" data-priority="""
generated-public-output,out/coloring-pages/animals/page/2.html,//coloring-pages/animals/page/2,@context,raw,unicode,1,22364,"e-0df82031f8"">Anime Girl Saber Toothed Tiger Hoodie Plushie — Design 1</a></h3><div class=""gallery-actions""><button class"
generated-public-output,out/coloring-pages/animals/page/2.html,//coloring-pages/animals/page/2,@context,raw,unicode,1,22650,"edia-link"" aria-label=""View Anime Girl Shark Hoodie Plushie — Design 1 printable page"" href=""/printables/animals/anime-gi"
generated-public-output,out/coloring-pages/animals/page/2.html,//coloring-pages/animals/page/2,@context,raw,unicode,1,22988,"view</span></span><img alt=""Anime Girl Shark Hoodie Plushie — Design 1 coloring page"" class=""asset-image"" data-priority="""
generated-public-output,out/coloring-pages/animals/page/2.html,//coloring-pages/animals/page/2,@context,raw,unicode,1,23434,"-hoodie-plushie-d129be38aa"">Anime Girl Shark Hoodie Plushie — Design 1</a></h3><div class=""gallery-actions""><button class"
generated-public-output,out/coloring-pages/animals/page/2.html,//coloring-pages/animals/page/2,@context,raw,unicode,1,24721,"edia-link"" aria-label=""View Anime Girl Snake Hoodie Plushie — Design 1 printable page"" href=""/printables/animals/anime-gi"
generated-public-output,out/coloring-pages/animals/page/2.html,//coloring-pages/animals/page/2,@context,raw,unicode,1,25059,"view</span></span><img alt=""Anime Girl Snake Hoodie Plushie — Design 1 coloring page"" class=""asset-image"" data-priority="""
generated-public-output,out/coloring-pages/animals/page/2.html,//coloring-pages/animals/page/2,@context,raw,unicode,1,25505,"-hoodie-plushie-18ff159176"">Anime Girl Snake Hoodie Plushie — Design 1</a></h3><div class=""gallery-actions""><button class"
generated-public-output,out/coloring-pages/animals/page/2.html,//coloring-pages/animals/page/2,@context,raw,unicode,1,26984,"ink"" aria-label=""View Anime Girl Stegosaurus Hoodie Plushie — Design 1 printable page"" href=""/printables/animals/anime-gi"
generated-public-output,out/coloring-pages/animals/page/2.html,//coloring-pages/animals/page/2,@context,raw,unicode,1,27334,"span></span><img alt=""Anime Girl Stegosaurus Hoodie Plushie — Design 1 coloring page"" class=""asset-image"" data-priority="""
generated-public-output,out/coloring-pages/animals/page/2.html,//coloring-pages/animals/page/2,@context,raw,unicode,1,27798,"e-plushie-191f4bdb4d"">Anime Girl Stegosaurus Hoodie Plushie — Design 1</a></h3><div class=""gallery-actions""><button class"
generated-public-output,out/coloring-pages/animals/page/2.html,//coloring-pages/animals/page/2,@context,raw,unicode,1,86401,""",\""title\"":\""Anime Girl Saber Toothed Tiger Hoodie Plushie — Design 1\"",\""altText\"":\""Anime Girl Saber Toothed Tiger Hoo"
generated-public-output,out/coloring-pages/animals/page/2.html,//coloring-pages/animals/page/2,@context,raw,unicode,1,86474,"\""altText\"":\""Anime Girl Saber Toothed Tiger Hoodie Plushie — Design 1 coloring page\"",\""downloadBaseName\"":\""Anime Girl"
generated-public-output,out/coloring-pages/animals/page/2.html,//coloring-pages/animals/page/2,@context,raw,unicode,1,86570,"dBaseName\"":\""Anime Girl Saber Toothed Tiger Hoodie Plushie — Design 1\"",\""assetSubpaths\"":{\""svg\"":\""svg/anime-girls/ani"
generated-public-output,out/coloring-pages/animals/page/2.html,//coloring-pages/animals/page/2,@context,raw,unicode,1,87048,"e__d129be38aa\"",\""title\"":\""Anime Girl Shark Hoodie Plushie — Design 1\"",\""altText\"":\""Anime Girl Shark Hoodie Plushie —"
generated-public-output,out/coloring-pages/animals/page/2.html,//coloring-pages/animals/page/2,@context,raw,unicode,1,87107,"— Design 1\"",\""altText\"":\""Anime Girl Shark Hoodie Plushie — Design 1 coloring page\"",\""downloadBaseName\"":\""Anime Girl"
generated-public-output,out/coloring-pages/animals/page/2.html,//coloring-pages/animals/page/2,@context,raw,unicode,1,87189,"ge\"",\""downloadBaseName\"":\""Anime Girl Shark Hoodie Plushie — Design 1\"",\""assetSubpaths\"":{\""svg\"":\""svg/anime-girls/ani"
