sample_group,printable_id,route,orientation,verified_subject,verified_styles,verified_seasonal,related_routes,verified_signal_matches
Animals,animals__animals-alligator__4feec8505a,/printables/animals/animals-alligator-4feec8505a,portrait,Animals,,,/printables/animals/mandala-geometry-patterns-plushie-alligator-animals-870b9979cf|/printables/animals/reptiles-alligator-snapping-turtle-9c4be5a82e|/printables/animals/reptiles-alligator-basking-on-riverbank-ac73c705a8|/printables/halloween/holiday-halloween-costume-plushie-alligator-family-34d6f58480|/printables/halloween/holiday-halloween-plushie-alligator-family-f107f37eb2|/printables/cute/plushie-alligator-family-76ee38269b|/printables/cute/plushie-alligator-7a469a9dce|/printables/birthday/holiday-birthday-celebration-plushie-alligator-family-88ffd48da0,0
Flowers,anime-girls__anime-girl-field-of-flowers__c6343aeefe,/printables/anime-girls/anime-girl-field-of-flowers-c6343aeefe,portrait,Flowers,Anime,,/printables/anime-girls/anime-girl-field-of-flowers-nature-401fe52b71|/printables/anime-girls/anime-girl-laying-on-field-of-flowers-1710cbcb6d|/printables/animals/flowers-bird-of-paradise-d3dda83342|/printables/animals/chibi-flowers-bird-of-paradise-5465ea1db1|/printables/anime-girls/anime-girl-sun-flower-cba5ab3514|/printables/anime-girls/anime-girl-laying-on-flowers-e7d6cbc311|/printables/anime-girls/anime-girl-gardening-flowers-a0c51dafff|/printables/chibi/chibi-flowers-tulip-garden-68470e6363,5
Fantasy,anime-girls__anime-girl-centaur-standoff__d462b8fcc6,/printables/anime-girls/anime-girl-centaur-standoff-d462b8fcc6,portrait,Fantasy Creatures,Anime,,/printables/chibi/chibi-plushie-centaur-e63c7c3bed|/printables/cute/plushie-centaur-b143146d22|/printables/detailed-for-adults/mandala-geometry-patterns-plushie-centaur-5f1bfa3db4|/printables/fantasy/mythology-centaur-df30cda0f2|/printables/fantasy/midieval-fantasy-centaur-forest-archer-df8ec8f64d|/printables/chibi/chibi-midieval-fantasy-centaur-eed9718a81|/printables/chibi/chibi-elf-centaur-efcbbd3047|/printables/chibi/chibi-centaur-archer-f313ab1b5c,4
Mandalas,mandala__mandala-geometry-patterns-animal-mandala-fox__3e8e80a2fd,/printables/animals/mandala-geometry-patterns-animal-mandala-fox-3e8e80a2fd,portrait,Foxes,Mandala,,/printables/animals/mandala-geometry-patterns-plushie-animals-fox-3d6c6fc2ae|/printables/animals/mandala-geometry-patterns-plushie-fox-animals-eb6ed29767|/printables/detailed-for-adults/mandala-geometry-patterns-plushie-fox-460bc79364|/printables/detailed-for-adults/mandala-geometry-patterns-plushie-fennec-fox-05a88aabbf|/printables/animals/mandala-geometry-patterns-dogs-toy-fox-terrier-0c23d416f2|/printables/animals/anime-girl-fox-hoodie-animal-plushie-82cedecea8|/printables/animals/fantasy-animal-fox-rogue-night-market-5073be9dee|/printables/animals/holiday-christmas-animals-kawaii-foxes-70f122f707,8
Geometric,mandala__mandala-geometry-patterns-geometric-mandala__3369a57b28,/printables/detailed-for-adults/mandala-geometry-patterns-geometric-mandala-3369a57b28,portrait,,Geometric|Mandala,,/printables/detailed-for-adults/mandala-geometry-patterns-abstract-mandala-29dbb1eecf|/printables/detailed-for-adults/mandala-geometry-patterns-spiral-mandala-481995f0ca|/printables/detailed-for-adults/mandala-geometry-patterns-sacred-geometry-mandala-98e7b1c27b|/printables/bakery/mandala-geometry-patterns-bakery-rolling-pin-patterned-93634ab8bd|/printables/animals/mandala-geometry-patterns-chameleon-face-patterns-34103ddf91|/printables/detailed-for-adults/mandala-geometry-patterns-sloth-climbing-tree-patterns-36b594c0e0|/printables/detailed-for-adults/mandala-geometry-patterns-cobra-face-patterns-3abc17f967|/printables/detailed-for-adults/mandala-geometry-patterns-optical-illusion-patterns-2ba40dae7a,8
Easy,anime-girls__anime-girl-chibi-bear-summon__443fa88c61,/printables/anime-girls/anime-girl-chibi-bear-summon-443fa88c61,portrait,Bears,Anime|Chibi,,/printables/bears/chibi-plushie-teddy-bear-614914bb45|/printables/bears/chibi-plushie-polar-bear-64be79dc44|/printables/bears/chibi-plushie-kawaii-polar-bear-938c4d4db3|/printables/bears/chibi-cave-bear-34458b23d1|/printables/bears/chibi-bear-24adcef6cd|/printables/anime-girls/anime-girl-cute-teddy-bear-plushie-9e3171aa9b|/printables/anime-girls/anime-girl-teddy-bear-outfit-kawaii-6746a30a00|/printables/anime-girls/anime-girl-bear-hoodie-plushie-4e33c8392d,8
Coloring Pages for Kids,animals__animals-puppies__093b6e6276,/printables/animals/animals-puppies-093b6e6276,portrait,Dogs,,,/printables/animals/holiday-christmas-plushie-puppy-dog-801341ade8|/printables/animals/mandala-geometry-patterns-plushie-puppy-dog-animals-821462a2fe|/printables/animals/holiday-christmas-plushie-puppy-dog-family-8b78f3c69d|/printables/animals/mandala-geometry-patterns-plushie-puppy-1133351154|/printables/animals/mandala-geometry-patterns-plushie-puppy-dog-halloween-e6b03b733b|/printables/animals/mandala-geometry-patterns-plushie-puppy-dog-fec833208b|/printables/animals/holiday-birthday-celebration-plushie-puppy-dog-family-0598064720|/printables/animals/chibi-plushie-puppy-dog-132f44319f,0
Seasonal,christmas__christmas-holiday-advent-calendar__a1245c4617,/printables/christmas/christmas-holiday-advent-calendar-a1245c4617,portrait,,,Christmas|Holidays,/printables/animals/holiday-christmas-plushie-puppy-dog-family-8b78f3c69d|/printables/animals/holiday-christmas-plushie-puppy-dog-801341ade8|/printables/christmas/holiday-christmas-plushie-reindeer-family-e2ff6858a7|/printables/christmas/holiday-christmas-plushie-reindeer-f22a73c74f|/printables/animals/holiday-christmas-plushie-octopus-family-9cf37cb60b|/printables/animals/holiday-christmas-plushie-crab-family-9bbfbe10ac|/printables/animals/holiday-christmas-plushie-whale-family-95ba18a9c9|/printables/animals/holiday-christmas-plushie-prehistoric-triceratops-family-b942c6ee0e,8
Small distinct,anime-girls__anime-girl-cyber-punk-hoodie-and-robot-pets__6df92236a2,/printables/anime-girls/anime-girl-cyber-punk-hoodie-and-robot-pets-6df92236a2,portrait,Robots,Anime,,/printables/animals/mandala-geometry-patterns-plushie-robot-animal-04474f9dd3|/printables/chibi/chibi-plushie-robot-7e5c419a1b|/printables/halloween/holiday-halloween-costume-plushie-robot-family-9d0b24cb4f|/printables/cute/plushie-robot-family-39a52a2d15|/printables/detailed-for-adults/mandala-geometry-patterns-plushie-robot-3761befce4|/printables/birthday/holiday-birthday-celebration-plushie-robot-family-0c03589e4f|/printables/cute/plushie-robot-03bc6c06ce|/printables/christmas/holiday-christmas-plushie-robot-family-ff88fbd969,8
portrait sample,animals__animals-antelopes__49a5eb802f,/printables/animals/animals-antelopes-49a5eb802f,portrait,Animals,,,/printables/animals/mandala-geometry-patterns-plushie-antelope-animals-bb6c795f24|/printables/cute/plushie-antelope-5408d45f3c|/printables/cute/plushie-antelope-family-1a82cd5c8d|/printables/cute/plushie-antelope-family-picnic-a731553443|/printables/chibi/chibi-plushie-antelope-31435444ab|/printables/halloween/holiday-halloween-costume-plushie-antelope-family-6d1c6cb120|/printables/christmas/holiday-christmas-plushie-antelope-family-7a59ed3259|/printables/birthday/holiday-birthday-celebration-plushie-antelope-family-cf8835f947,0
